rule,horizon_days,signals,win_rate,loss_rate,average_return,median_return,p10_return,p25_return,p75_return,p90_return,best_return,worst_return,std_return,average_ex_top_1pct,top_1pct_profit_contribution,profit_factor,robustness_score
Reversal: 50D Support + Bull Engulf,3,1314,0.5426179604261796,0.4124809741248097,0.0035613480265264,0.0009871668311944,-0.0324609061274626,-0.006754380564822,0.0150840456423049,0.0364100016559033,0.6666666666666667,-0.4210884353741496,0.0495470643784609,0.0007654174070139,0.204384557433311,1.3506831671773984,44.39392867120643
Reversal: 50D Support + Bull Engulf,5,1314,0.5722983257229832,0.4056316590563166,0.0058299993991226,0.0018792088165275,-0.04,-0.0074509450686801,0.0200704196060162,0.0531867587946718,0.7030303030303031,-0.4035087719298245,0.0609794670405679,0.0024578240064401,0.1823873787861168,1.4557390734363649,54.44932458046898
Reversal: 50D Support + Bull Engulf,10,1261,0.5979381443298969,0.3862014274385408,0.0130564584318319,0.0029354207436398,-0.0514285714285714,-0.0095356550580431,0.0363636363636361,0.0817120622568092,1.552941176470588,-0.6900149031296572,0.0960891538750808,0.0077631810214527,0.1755713997993934,1.745521945472439,67.29575440877197
Reversal: 50D Support + Bull Engulf,20,1125,0.6151111111111112,0.3768888888888889,0.0203414699756529,0.0054600241060667,-0.0867043621189586,-0.0159161490683229,0.0589595375722542,0.1339071496361912,1.670588235294118,-0.6747559274755928,0.1380478555892392,0.0128131287671845,0.1601601561847725,1.7411491226136515,76.47643506504735
Reversal: Support Rejection + RSI,1,2424,0.4781353135313531,0.4983498349834983,0.0022874607536172,0.0,-0.0671448519828709,-0.0279931033318895,0.0246071288906911,0.0664555848724715,2.7189249720044795,-0.4645669291338582,0.1035316368499933,-0.0031896652700236,0.2303046298778096,1.1071033676619462,26.83128627513111
Reversal: Support Rejection + RSI,3,2407,0.464894058994599,0.5234732031574574,0.0014019180593714,-0.0044210526315788,-0.1325425689461382,-0.0567522958550508,0.0396971748208673,0.1038225925018378,6.215517241379311,-0.8829020493226815,0.2288783776777858,-0.0123581350279978,0.3082157992722417,1.0327225955140429,23.136795076047363
Reversal: Support Rejection + RSI,5,2377,0.4703407656710139,0.5178796802692469,0.013243749854171,-0.003012048192771,-0.1725196078431373,-0.07140434192673,0.0491803278688525,0.1385688644817254,12.49724034119418,-0.88375,0.4122543605909875,-0.0138486737136012,0.3905458028453903,1.2374120800759243,28.13836921335413
Reversal: Support Rejection + RSI,10,2319,0.4821043553255714,0.5105648986632169,0.0299229034885065,-0.0033670033670032,-0.2600627802690582,-0.1045829115686927,0.0739935587761674,0.203254155141264,13.97695852534562,-0.9470454545454544,0.663762728371257,-0.0189087372846473,0.4431135350978015,1.3747151716494723,32.84502932058468
Reversal: Support Rejection + RSI,20,2134,0.4746954076850984,0.5192127460168697,0.0115767871187373,-0.0071536759738051,-0.3781575471698112,-0.1606977878985035,0.0923982947497889,0.2509444712462633,7.535128678466718,-0.9943790849673204,0.5504433968595,-0.031564853685836,0.3406374060298962,1.1014074760407315,26.14405080166436
Reversal: Support Rejection + Volume,1,5302,0.474726518294983,0.4337985665786495,0.0059745173372121,0.0,-0.0497252719453579,-0.0144491427247451,0.016126710865972,0.0562548457402857,2.7189249720044795,-0.9521942446043166,0.1062084041153663,-0.0005447064218843,0.2882426991700669,1.359396998033632,31.30902634316981
Reversal: Support Rejection + Volume,3,5230,0.4925430210325048,0.4694072657743786,0.0090378040255816,0.0,-0.0857155290314559,-0.0254599429284485,0.0253405207681571,0.0952380952380953,6.215517241379311,-0.969496402877698,0.1889764526774782,-0.0020976026178926,0.298983173551567,1.3212105291053982,33.51471408752543
Reversal: Support Rejection + Volume,5,5121,0.4868189806678383,0.4850615114235501,0.0089061966690023,0.0,-0.1130927835051546,-0.0350877192982455,0.0271739130434782,0.1058823529411765,12.49724034119418,-0.9888848920863308,0.2940501571813717,-0.0071953472554672,0.3502297487323679,1.2415997699652923,30.968492177278893
Reversal: Support Rejection + Volume,10,4858,0.4981473857554549,0.4829147797447509,0.0060520287324926,0.0,-0.1627958318869375,-0.0500528566763481,0.0374465456876572,0.1451256741630202,11.794781736076269,-0.9902877697841728,0.3258285327488826,-0.0118314504384046,0.3108946463280386,1.1184475490759491,30.393515274094806
Reversal: Support Rejection + Volume,20,4432,0.5115072202166066,0.4796931407942238,0.0067590377399737,0.0012021662597623,-0.2299634915699628,-0.0767339748175703,0.0565545371263888,0.20412154200101,6.810090328266138,-0.995322966507177,0.3472072742309944,-0.0160427076709125,0.2927411127357432,1.0957541936799255,33.36845350279526
Reversal: 100D Support + RSI,1,2183,0.4461749885478699,0.5281722400366469,0.0133916226938575,-0.0031645569620254,-0.0660364145658263,-0.0302664576802507,0.0207051879465672,0.054023226835067,34.57657657657658,-0.469453125,0.7478657266314297,-0.0070317318542708,0.5703099689800339,1.6005012460697312,27.89070093059898
Reversal: 100D Support + RSI,3,2120,0.4594339622641509,0.5273584905660378,0.0110856866371427,-0.0041209564622871,-0.1211266239324368,-0.0534917125915044,0.0382413388138578,0.1017444018310033,9.894495412844035,-0.6867704280155642,0.3561345885557911,-0.0124662279049811,0.4498012777226984,1.2703793765912468,26.97991457585009
Reversal: 100D Support + RSI,5,2045,0.4694376528117359,0.5178484107579462,0.0072632748322629,-0.0032196518006201,-0.1516991780149675,-0.0725053840631729,0.0504983388704318,0.132061411992263,7.018018018018017,-0.7736358725013506,0.2913327168781539,-0.0136371341206335,0.3528610113225408,1.1407883290620138,26.05537538319626
Reversal: 100D Support + RSI,10,1910,0.4853403141361256,0.5089005235602094,-0.0016272666227601,-0.0032006519554909,-0.2397534246575342,-0.1026875986861959,0.0765167282825553,0.1719974441477831,6.521739130434782,-0.9803007518796992,0.3273323475287485,-0.0230303123301098,0.2852868901094545,0.9785454367556812,25.460961091134564
Reversal: 100D Support + RSI,20,1388,0.4495677233429395,0.5432276657060519,-0.0238786985593889,-0.0137188367896084,-0.3564207002003584,-0.1489990516153853,0.0937703335746321,0.2109869838096316,11.712765957446807,-0.9943790849673204,0.4255710848809146,-0.0472764753164329,0.2752266128450705,0.7774225397553762,15.548450795107524
Reversal: Bottom Reclaim + Support,1,5625,0.4478222222222222,0.5095111111111111,-0.0020722213984519,-0.0005799342741155,-0.0473636960231,-0.020066889632107,0.0153609831029186,0.0421348453099964,1.1999999999999995,-0.8588617886178862,0.0528638246889453,-0.0044493573374951,0.1695229607056974,0.8691236234537033,17.382472469074063
Reversal: Bottom Reclaim + Support,3,5581,0.5129905034939974,0.468733201935137,0.0088164445616421,0.0012499999999999,-0.0819672131147539,-0.0306112557257711,0.0341948310139166,0.0872483221476509,9.894495412844035,-0.8927642276422765,0.2090657089974852,-0.0016782867612671,0.2943881533545356,1.3292584068494702,38.33358538598895
Reversal: Bottom Reclaim + Support,5,5531,0.5306454529018261,0.4566986078466823,0.0084972532882201,0.0028887993553585,-0.1064516129032258,-0.0384359761794789,0.0449408025921169,0.1061507936507937,5.360612109115104,-0.9001626016260162,0.1732537136161811,-0.0016619360593885,0.2418784159101671,1.254137557679519,41.41245932591996
Reversal: Bottom Reclaim + Support,10,5354,0.5444527456107583,0.4475158759805753,0.020587967998924,0.0067457253171538,-0.1526760806785647,-0.051739313725368,0.0690548508129356,0.1584271784127919,13.97695852534562,-0.999015561015561,0.3315459523725584,0.0017026931988755,0.2831374146007644,1.445901167272894,53.53423942966591
Reversal: Bottom Reclaim + Support,20,4621,0.5684916684700281,0.4258818437567626,0.0314493493955289,0.0124999999999999,-0.2176165803108808,-0.0718711276332094,0.1052501238236751,0.2394230769230769,7.915789473684212,-0.9994049504950496,0.353847577929381,0.0088191882786484,0.239301324837032,1.4953811697956303,73.18022015589443
Reversal: RSI + 20D Support,1,5382,0.4509476031215161,0.510776662950576,-0.0021474143009524,-0.0010050251256281,-0.0568451874366768,-0.0239440789965945,0.0180135135135133,0.0474608554802328,2.7189249720044795,-0.97,0.0689466100557995,-0.0051442564533979,0.1829765423740955,0.8823259891753866,17.804453637093758
Reversal: RSI + 20D Support,3,5333,0.4744046502906431,0.507219201200075,0.0066352861870402,-0.0009842519685039,-0.0957903414530369,-0.0412371134020618,0.0336457984599931,0.0892747252747252,9.894495412844035,-0.823394495412844,0.2226827273766932,-0.0061934160043627,0.3299721783282179,1.2069884388502596,28.207210492112385
Reversal: RSI + 20D Support,5,5279,0.4828566016290964,0.501420723621898,0.0102141221218384,-0.000504795557799,-0.1194803857991331,-0.0507778654354087,0.0444965264195521,0.1167791672587751,6.24,-0.8623853211009174,0.2390124739677839,-0.0054540761679465,0.3134714739326592,1.2579496771781205,30.63509381507848
Reversal: RSI + 20D Support,10,5195,0.5181905678537055,0.4737247353224254,0.0132454878176721,0.0028810536424748,-0.1824062541867423,-0.0706985312874671,0.0709552593861945,0.1737518607580442,9.459081836327346,-0.9803007518796992,0.2952648145543448,-0.0053058349576667,0.2645789768012626,1.2337135303597664,38.9204188919544
Reversal: RSI + 20D Support,20,4784,0.5196488294314381,0.4753344481605351,0.0123462252697957,0.0051037824772228,-0.271948574981892,-0.1007534999421497,0.094763045887222,0.2231471619303348,11.67605633802817,-0.9943790849673204,0.40314145871107,-0.0137299075887155,0.2787491942830079,1.152957309864909,39.77106691309407
